word_id,root_id,sequence,sequence_2
1610,725,2,NULL
1598,699,2,NULL
1598,1024,1,NULL
1940,699,1,NULL
1409,188,1,NULL
1409,374,2,NULL
1479,366,2,NULL
1479,374,1,NULL
1483,815,2,NULL
1941,374,2,NULL
1941,31,1,NULL
1942,362,1,NULL
1942,4099,2,NULL
1478,823,3,NULL
1478,362,1,NULL
1943,1805,1,NULL
1943,3551,2,NULL
1492,478,2,NULL
1492,340,1,NULL
883,478,1,NULL
883,941,2,NULL
729,696,2,NULL
729,4055,3,NULL
3129,809,2,NULL
1944,1191,1,NULL
1945,517,1,NULL
1500,445,1,NULL
1501,445,1,NULL
1501,1193,2,NULL
1946,822,2,NULL
1946,569,1,NULL
1947,823,2,NULL
1947,569,1,NULL
1582,987,2,NULL
1582,1266,1,NULL
1583,1266,2,NULL
1583,100,1,NULL
1948,1266,2,NULL
1948,4085,3,NULL
1480,366,2,NULL
1480,467,1,NULL
1481,510,1,NULL
1481,366,2,NULL
1534,1195,1,NULL
1534,886,2,NULL
1949,1195,1,NULL
1949,809,2,NULL
1482,201,1,NULL
1482,374,2,NULL
1950,809,2,NULL
1950,784,1,NULL
1951,100,1,NULL
1951,784,2,NULL
1952,888,2,1
1953,3526,2,NULL
1953,484,1,NULL
1511,485,2,NULL
1511,1024,1,NULL
1510,485,2,NULL
1510,1384,1,NULL
1549,594,1,NULL
1549,809,2,NULL
1954,56,1,NULL
1954,594,2,NULL
1551,594,2,NULL
1551,119,1,NULL
1550,1242,2,NULL
9903,414,1,NULL
1609,1240,2,NULL
1955,717,1,NULL
1955,340,2,NULL
1657,3349,2,NULL
1587,100,1,NULL
1587,782,2,NULL
1956,987,2,NULL
1956,782,1,NULL
707,297,1,NULL
707,271,2,NULL
1569,987,3,NULL
1569,297,2,NULL
1569,91,1,NULL
1957,297,2,NULL
7973,637,2,NULL
1958,869,2,NULL
1553,4265,2,NULL
1553,609,1,NULL
1959,959,3,NULL
1959,609,2,NULL
1960,3988,1,NULL
1960,4086,3,NULL
1961,1200,1,NULL
1961,774,2,NULL
1961,1201,3,NULL
823,1721,3,NULL
1962,21,1,NULL
1962,774,2,NULL
1333,872,2,NULL
1333,774,1,NULL
1517,959,2,NULL
1517,503,1,NULL
1963,864,2,NULL
1963,503,1,NULL
1964,820,2,NULL
1964,1204,1,NULL
1965,985,2,NULL
1965,1204,1,NULL
704,4265,2,NULL
704,959,3,NULL
706,869,3,1
706,1205,2,3
706,8,1,2
709,1207,1,NULL
710,878,3,NULL
710,1206,1,NULL
710,1784,2,NULL
711,1209,1,NULL
715,1211,2,NULL
715,2765,1,NULL
716,285,1,NULL
716,869,3,NULL
1471,1145,3,3
717,1031,1,NULL
717,842,4,NULL
717,1213,2,NULL
1970,1056,2,NULL
719,637,2,NULL
719,4086,3,NULL
720,21,1,NULL
720,812,3,NULL
720,1038,2,NULL
1212,4265,2,NULL
1212,2584,3,NULL
1969,715,3,NULL
1969,1495,2,NULL
1969,3603,1,NULL
723,4034,3,NULL
723,1216,2,NULL
1970,478,1,NULL
730,201,2,NULL
730,809,3,NULL
730,513,1,NULL
731,886,3,1
731,517,2,3
731,1217,1,2
1971,884,2,NULL
1971,1218,1,NULL
734,823,3,NULL
734,1218,2,NULL
734,1219,1,NULL
926,1805,2,NULL
736,1064,2,NULL
736,1218,1,NULL
737,1222,2,NULL
737,1221,1,NULL
738,1223,1,NULL
738,2111,2,NULL
402,1224,2,NULL
402,52,1,NULL
739,52,1,NULL
739,987,3,NULL
739,1815,2,NULL
740,113,1,NULL
740,1221,2,NULL
741,1132,3,NULL
741,338,2,NULL
1256,469,2,NULL
742,959,2,NULL
799,1264,2,NULL
743,314,1,NULL
743,869,2,NULL
744,2905,2,NULL
744,100,1,NULL
